epoch,loss,val_acc,lr
1,0.237496,0.603372,0.001789
2,0.235372,0.603002,0.001578
3,0.235255,0.602934,0.001367
4,0.235183,0.603068,0.001156
5,0.235115,0.602970,0.000944
6,0.235064,0.603434,0.000733
7,0.234980,0.603451,0.000522
8,0.234862,0.603510,0.000311
9,0.234729,0.603566,0.000100
10,0.234663,0.604012,0.002000
11,0.233772,0.605397,0.001789
12,0.233519,0.606275,0.001578
13,0.233378,0.606228,0.001367
14,0.233279,0.606286,0.001156
15,0.233183,0.606627,0.000944
16,0.233101,0.606524,0.000733
17,0.233010,0.606637,0.000522
18,0.232919,0.606614,0.000311
19,0.232831,0.606948,0.000100
20,0.233250,0.606792,0.002000
21,0.233185,0.606653,0.001789
22,0.233110,0.606361,0.001578
23,0.233018,0.605787,0.001367
24,0.232921,0.606218,0.001156
25,0.232807,0.606518,0.000944
26,0.232693,0.606439,0.000733
27,0.232569,0.606293,0.000522
28,0.232444,0.606149,0.000311
29,0.232324,0.606168,0.000100
30,0.232889,0.606255,0.002000
31,0.232832,0.605281,0.001789
32,0.232728,0.605966,0.001578
33,0.232596,0.605602,0.001367
34,0.232449,0.605374,0.001156
35,0.232283,0.605337,0.000944
36,0.232117,0.605459,0.000733
37,0.231936,0.604943,0.000522
38,0.231759,0.604841,0.000311
39,0.231594,0.604630,0.000100
40,0.232409,0.605077,0.002000
41,0.232356,0.604994,0.001789
42,0.232222,0.604510,0.001578
43,0.232051,0.604336,0.001367
44,0.231855,0.604427,0.001156
45,0.231653,0.603988,0.000944
46,0.231433,0.603400,0.000733
47,0.231212,0.603168,0.000522
48,0.230995,0.602790,0.000311
49,0.230782,0.602564,0.000100
50,0.231881,0.603928,0.002000
51,0.231839,0.603565,0.001789
