epoch,loss,val_acc,lr
1,0.173051,0.766204,0.001789
2,0.153688,0.779995,0.001578
3,0.149842,0.781280,0.001367
4,0.149044,0.782329,0.001156
5,0.148542,0.782515,0.000944
6,0.148157,0.782908,0.000733
7,0.147804,0.783165,0.000522
8,0.147442,0.783440,0.000311
9,0.148058,0.783913,0.000100
10,0.148720,0.783341,0.002000
11,0.147864,0.783926,0.001789
12,0.147361,0.784488,0.001578
13,0.146975,0.785057,0.001367
14,0.146655,0.785397,0.001156
15,0.146350,0.785557,0.000944
16,0.146080,0.785551,0.000733
17,0.145822,0.785713,0.000522
18,0.145568,0.785877,0.000311
19,0.145325,0.785775,0.000100
20,0.146605,0.785128,0.002000
21,0.146400,0.785204,0.001789
22,0.146187,0.785343,0.001578
23,0.145955,0.785226,0.001367
24,0.145721,0.785477,0.001156
25,0.145489,0.785456,0.000944
26,0.145235,0.785318,0.000733
27,0.144988,0.785602,0.000522
28,0.144733,0.785541,0.000311
29,0.144485,0.785484,0.000100
30,0.145844,0.785203,0.002000
31,0.145725,0.785305,0.001789
32,0.145530,0.785357,0.001578
33,0.145323,0.785565,0.001367
34,0.145100,0.785309,0.001156
35,0.144849,0.785415,0.000944
36,0.144597,0.785265,0.000733
37,0.144336,0.785211,0.000522
38,0.144076,0.785064,0.000311
39,0.143816,0.785052,0.000100
40,0.145294,0.784676,0.002000
41,0.145220,0.785210,0.001789
42,0.145032,0.784996,0.001578
43,0.144810,0.785045,0.001367
44,0.144581,0.784778,0.001156
45,0.144332,0.784442,0.000944
46,0.146817,0.786975,0.000733
47,0.146263,0.786988,0.000522
48,0.145989,0.787160,0.000311
49,0.145780,0.787259,0.000100
50,0.146526,0.786775,0.002000
51,0.146231,0.786708,0.001789
52,0.146006,0.786942,0.001578
53,0.145790,0.787104,0.001367
54,0.145591,0.787072,0.001156
55,0.145394,0.786994,0.000944
56,0.145195,0.786992,0.000733
57,0.144997,0.787223,0.000522
58,0.144814,0.787152,0.000311
59,0.144628,0.787167,0.000100
60,0.145627,0.786484,0.002000
61,0.145522,0.786783,0.001789
62,0.145343,0.786605,0.001578
63,0.145167,0.786841,0.001367
64,0.144972,0.786597,0.001156
65,0.144762,0.786684,0.000944
66,0.144557,0.786529,0.000733
67,0.144354,0.786577,0.000522
68,0.144142,0.786714,0.000311
69,0.143934,0.786651,0.000100
70,0.145117,0.786262,0.002000
71,0.145033,0.786267,0.001789
72,0.144869,0.786359,0.001578
73,0.144677,0.786457,0.001367
